,Job Title,Company,Location,Salary,Search Term
0,<b>Data</b> <b>Scientist</b>,"
    Platinum Solutions","Houston, TX","$80,000 - $120,000 a year",Houston
1,<b>Data</b> <b>Scientist</b> Intern,"
        HP","Houston, TX",NaN,Houston
2,Marketing Analyst/<b>Data</b> <b>Scientist</b>,"
        David Weekley Homes","Houston, TX",NaN,Houston
3,Ultimate Hoops Statistician,"
        Life Time Fitness","Sugar Land, TX 77478",NaN,Houston
4,Senior <b>Data</b> <b>Scientist</b>,"
        Honeywell","Houston, TX",NaN,Houston
5,"Associate Statistical Analyst, HSR","
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
6,Market Research Analyst,"
        Weatherford","Houston, TX 77056 <span style=""font-size: smaller"">(Galleria-Uptown area)</span>",NaN,Houston
7,Research <b>Scientist</b> - Cardiology Research,"
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
8,Research <b>Scientist</b>,"
        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
9,Structuring Quantitative Analyst,"
        Just Energy","Houston, TX 77056 <span style=""font-size: smaller"">(Galleria-Uptown area)</span>",NaN,Houston
10,"Coord, Research <b>Data</b> in Investigative Cancer Therapeutics","
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
11,Lead Retail Pricing <b>Scientist</b>,"
        Grocers Supply","Houston, TX",NaN,Houston
12,Quantitative Analyst,"
        Direct Energy","Houston, TX",NaN,Houston
13,Dealership Optimization Consultant,"
        CDK Global","Houston, TX",NaN,Houston
14,<b>Data</b> Analysis Supervisor,"
        NCI Information Systems, Inc.","Houston, TX",NaN,Houston
15,Bioinformatics Software Developer,"
    Genialis","Houston, TX","$50,000 - $80,000 a year",Houston
16,MSAT <b>Scientist</b>,"
        Lonza","Houston, TX",NaN,Houston
17,"Senior <b>Scientist</b> (Houston, TX)","
        KBRWyle","Houston, TX",NaN,Houston
18,Sr. <b>Data</b> <b>Scientist</b>,"
        Invesco","Houston, TX",NaN,Houston
19,<b>Data</b> <b>Scientist</b>,"
        Engage Partners","Houston, TX",$120 an hour,Houston
20,Development Research Analyst,"
        Rice University","Houston, TX",NaN,Houston
21,"Staff <b>Scientist</b> - Pediatrics, Neurology","
        UT Health Science Center at Houston","Houston, TX",NaN,Houston
22,Quality Assurance Analyst (Research),"
        Baylor College of Medicine","Houston, TX","$43,794 a year",Houston
23,Sr Research Assistant - Cardiology Research,"
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
24,United States Houston:Supply Chain Statistician,"
        Halliburton","Houston, TX",NaN,Houston
25,Mars Research <b>Scientist</b>,"
        Jacobs","Houston, TX",NaN,Houston
26,Supply Chain Statistician,"
        Halliburton","Houston, TX 77032",NaN,Houston
27,Research <b>Scientist</b>,"
        UT Health Science Center at Houston","Houston, TX",NaN,Houston
28,<b>Scientist</b>,"
        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
29,Sr Staff <b>Data</b> <b>Scientist</b>,"
        General Electric","Houston, TX 77002 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,Houston
30,Project Associate,"
        alliantgroup","Houston, TX",NaN,Houston
31,Lead <b>Data</b> <b>Scientist</b>,"
        Invesco","Houston, TX",NaN,Houston
32,Statistician,"
        UT Health Science Center at Houston","Houston, TX",NaN,Houston
33,ETL Informatica Developer,"
        SNI Technology","Houston, TX",NaN,Houston
34,Experimental Petrologist,"
        Jacobs","Houston, TX",NaN,Houston
35,Engagement Manager for CMS Implementations,"
    Simple [A]","Houston, TX",NaN,Houston
36,UX Developer III,"
    HRS Unlimited","Spring, TX",NaN,Houston
37,Hadoop Developer w/Pentaho,"
    Wittaff","Houston, TX",NaN,Houston
38,<b>Data</b> <b>Scientist</b>,"
    Burgeon IT Services","Houston, TX",NaN,Houston
39,Food <b>Scientist</b>,"
        SCHWAN'S","Deer Park, TX",NaN,Houston
40,Research Analyst,"
        Pennwell Corporation","Houston, TX",NaN,Houston
41,Senior Global Oil Market Analyst,"
        Hart Energy","Houston, TX",NaN,Houston
42,Database Administrator 4-IT,"
        Oracle","Houston, TX 77018 <span style=""font-size: smaller"">(Northwest area)</span>",NaN,Houston
43,Research Technician Advanced Characterization,"
        ExxonMobil","Baytown, TX 77520",NaN,Houston
44,<b>Data</b> <b>Scientist</b>,"
        Global Healthcare Alliance","Houston, TX 77046 <span style=""font-size: smaller"">(Montrose area)</span>",NaN,Houston
45,Research Statistical Analyst -Bioinformatics &amp; Computational...,"
        MD Anderson Cancer Center","Houston, TX","$66,400 - $99,600 a year",Houston
46,<b>Scientist</b> I,"
    Pros.","Houston, TX",NaN,Houston
47,Database Administrator 4-IT,"
        Oracle","Houston, TX 77018 <span style=""font-size: smaller"">(Northwest area)</span>",NaN,Houston
48,"Senior Research Analyst in Houston, TX","
        Frost &amp; Sullivan","Houston, TX",NaN,Houston
49,Toxicology Manager and Certifying <b>Scientist</b>,"
    Nationwide Laboratory Partners LLC","Houston, TX",NaN,Houston
50,<b>Data</b> <b>Scientist</b>,"
        Global Healthcare Alliance","Houston, TX 77046 <span style=""font-size: smaller"">(Montrose area)</span>",NaN,Houston
51,"Analyst, Market Fundamentals (Research)","
    Cheniere Energy, Inc.","Houston, TX",NaN,Houston
52,Postdoctoral Fellow Bioinformatics,"
        Texas A&amp;M University","Houston, TX 77058 <span style=""font-size: smaller"">(Pasadena area)</span>","$65,000 a year",Houston
53,Business Development/ Market Research Analyst,"
    Sunnova Energy Corporation","Houston, TX 77046 <span style=""font-size: smaller"">(Montrose area)</span>",NaN,Houston
54,"Analyst, Market Fundamentals (Research)","
    Cheniere Energy, Inc.","Houston, TX",NaN,Houston
55,Orbital Debris <b>Scientist</b>,"
        Belcan TechServices","Houston, TX",NaN,Houston
56,"<b>Data</b> <b>Scientist</b>, Customer Solutions","
    Maana, Inc.","Houston, TX",NaN,Houston
57,Digital Marketing Analyst,"
        Blinds.com","Houston, TX",NaN,Houston
58,Business Development/ Market Research Analyst,"
    Sunnova Energy Corporation","Houston, TX 77046 <span style=""font-size: smaller"">(Montrose area)</span>",NaN,Houston
59,Front-End Programmer (React),"
    Expero Inc","Houston, TX",NaN,Houston
60,Systems Engineer - Linux,"
        Cray","Houston, TX",NaN,Houston
61,"Principal Engineer I, RD&amp;E","
        NALCO Champion, An Ecolab Company","Sugar Land, TX",NaN,Houston
62,Research <b>Scientist</b> - HPC Application Specialist,"
        University of Houston","Houston, TX",NaN,Houston
63,Research Analyst - International Security,"
        Primary Services","Houston, TX 77042 <span style=""font-size: smaller"">(West Houston area)</span>",NaN,Houston
64,Feasibility Research Analyst II - Novella Clinical,"
        Novella Clinical","Houston, TX",NaN,Houston
65,Statistician,"
        Occidental Petroleum","Houston, TX",NaN,Houston
66,Certifying <b>Scientist</b> / LC-MS Chemist,"
    Nationwide Laboratory Partners LLC","Houston, TX",NaN,Houston
67,EPA <b>Scientist</b>,"
        AmerisourceBergen","Sugar Land, TX 77478",NaN,Houston
68,Research Associate II – Immunotherapy,"
    Bellicum Pharmaceuticals","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
69,Quality Assurance Specialist - Transfusion,"
        MD Anderson Cancer Center","Houston, TX",NaN,Houston
70,Product Manager,"
    Tachyus","Houston, TX",NaN,Houston
71,Quantitative Research <b>Scientist</b> - Options Strategy,"
    Quantlab Financial","Houston, TX",NaN,Houston
72,Product Manager,"
    Tachyus","Houston, TX",NaN,Houston
73,Sr Staff Analytics Engineer,"
        General Electric","Houston, TX 77002 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,Houston
